,ID,Conversation.ID,Text,Movie.Title,Movie.ID,Release.Year,Genre,Tolerance
73574,73574,L659594,"Then this is a day of Independence For all the Munchkins and their descendants!, If any!, Yes, let the joyous news be spread., ",the wizard of oz,m610,1939,"['adventure', 'family', 'fantasy', 'musical']",neutral
74250,74250,L666369,"Your orders, Mr Vereker?, I'm to take the Sikali with the main column to the river, Lord Chelmsford seems to want me to stay back with my Basutos., I think Chelmsford wants a good man on the border Why he fears a flanking attack and requires a steady Commander in reserve., ",zulu dawn,m616,1979,"['action', 'adventure', 'drama', 'history', 'war']",neutral
74251,74251,L666256,"Colonel Durnford... William Vereker. I hear you 've been seeking Officers?, Good ones, yes, Mr Vereker. Gentlemen who can ride and shoot, ",zulu dawn,m616,1979,"['action', 'adventure', 'drama', 'history', 'war']",neutral
17024,17024,L379295,"Hmm?, Things have been going pretty well between us, haven't they?, Yeah., You've changed you know. I don't think there's anything you can't do once you put your mind to it., ",metro,m133,1997,"['action', 'comedy', 'crime', 'drama', 'thriller']",tolerant
24564,24564,L536578,"I took these out of Data's neural net... they contain memory engrams..., Do you know how they were damaged?, By a Son'a weapon.  There's no doubt about it, sir. That's what made Data malfunction., The Son'a reports claim they didn't fire until after he malfunctioned., I don't believe it happened that way., Why would they fire at him without provocation?, All I know is that he was functioning normally until he was shot. Then, his fail-safe system was activated..., Fail-safe?, His ethical and moral subroutines took over all of his basic functions..., So, you're saying he still knew the difference between right and wrong., In a sense, that's all he knew. The system is designed to protect him against anyone who might try to take advantage of his memory loss., And yet he attacked us. And told the Ba'ku we were a threat..., ",star trek: insurrection,m195,1998,"['action', 'adventure', 'sci-fi', 'thriller']",tolerant
30976,30976,L43557,"That was fun. I don't think California is bad at all. It's a drag coming home., Lotta beautiful women. It was fun to flirt., I have to face facts. I-I adore Alvy, but our relationship doesn't seem to work anymore., I'll have the usual trouble with Annie in bed tonight. Whatta I need this?, If only I had the nerve to break up, but it would really hurt him., If only I didn't feel guilty asking Annie to move out. It'd probably wreck her. But I should be honest., ",annie hall,m243,1977,"['comedy', 'drama', 'romance']",tolerant
32212,32212,L58372,"'Is it really me?', 'Yes. You're-you're b-b- beautiful.', ",a walk to remember,m252,2002,"['drama', 'romance']",tolerant
71327,71327,L634924,"I am. I'm helping him with the sale., It's a pleasure to meet you. I'm David Dunne., He's spoken of you. He says you're becoming friends., We are., ",unbreakable,m590,2000,"['drama', 'fantasy', 'mystery', 'thriller']",tolerant
8,8,L404,"She's not a..., Lesbian?  No. I found a picture of Jared Leto in one of her drawers, so I'm pretty sure she's not harboring same-sex tendencies., So that's the kind of guy she likes? Pretty ones?, Who knows?  All I've ever heard her say is that she'd dip before dating a guy that smokes., ",10 things i hate about you,m0,1999,"['comedy', 'romance']",tolerant
18,18,L198,"You're asking me out.  That's so cute. What's your name again?, Forget it., ",10 things i hate about you,m0,1999,"['comedy', 'romance']",tolerant
13849,13849,L329848,"What do you think? Custard or Cheesecake?, They're yellow., Well, I wanted to pick something gender-neutral for now. Once we get the baby, God willing, we can create a more decisive palette., Why do people think yellow is gender- neutral? I don't know one man with a yellow bedroom., I think I'm leaning toward Custard in this light. I don't know. I should paint a small area..., Or you could just wait a couple months. It's not like the baby's going to storm in here any second and demand dessert-colored walls., What to Expect says that readying the baby's room is an important process for women. It's called ""nesting."", Nesting, huh? Are you planning to build the crib out of twigs and saliva?, You should read the book. I even flagged the ""daddy chapters"" for you., I just think it's too early to paint. That's my opinion., And I disagree., ",juno,m109,2007,"['comedy', 'drama']",tolerant
32790,32790,L67647,"You... fucked her!  Goddamn dumb sonofabitch... You fucked her! Goddamn, you are one dumb sonofabitch --, I'm not gonna get AIDS, pop --don't worry about it.  I always use a rubber., I don't give a... flyin'... chili- bean... fart about AIDS!, You oughta use a rubber, pop.  You really should., What in the hell for?  You think I'm gettin' any at my age?  I don't like blue-haired women.  I don't like 'em., You don't like punk rockers?, Say what?, ",basic instinct,m257,1992,"['mystery', 'romance', 'thriller']",tolerant
33875,33875,L82560,"Im not a homosexual. I just like women for more than their bodies. I guess you could say I'm the new American male., You're a fag or a liar., I mean, I am really attracted to you., I mean, I am really attracted to you. Jesus, you are a fag. We can share recipes, if you like, Darlene., ",being john malkovich,m267,1999,"['comedy', 'drama', 'fantasy', 'romance']",tolerant
57769,57769,L443217,"Well, at least they haven't tried to bite us., Blessed are the vegetarians., ",planet of the apes,m473,2001,"['action', 'adventure', 'sci-fi', 'thriller', 'animation', 'action', 'adventure', 'sci-fi']",tolerant
66276,66276,L564705,"A strange little fellow, but you couldn't help liking him.  He was close to ten but seemed more like a frightened five or six., Were his parents...attentive to him?, What do you mean?, You mentioned that he had a learning disability., That's right., Did his parents attend to that?, What do you mean?, Did they give him special care?, The Walkers loved Sean.  He was their only child...the object of all their attention.  I mean, Wendell's a withdrawn sort of man.  That's his nature.  But Risa, she's still got dreams., ",the sweet hereafter,m545,1997,['drama'],tolerant
71727,71727,L638516,"Shouldn't you be sitting down?, No, I'm all right., I was sorry to read about that thing in the papers.  And you've quit the force.  A permanent physical disability?, No, Acrophobia isn't a crippling thing. It just means I can't climb steep stairs or go to high places, like the bar at the Top-of-the-Mark. But --  -- there are plenty of street-level bars In this town., ",vertigo,m594,1958,"['crime', 'mystery', 'romance', 'thriller']",tolerant
